iter	Passed	Remaining
0	61	308551
1	68	171713
2	75	125721
3	82	103021
4	90	90069
5	97	81098
6	105	74961
7	113	70535
8	121	67413
9	128	64087
10	135	61422
11	142	59308
12	150	57758
13	164	58556
14	177	58918
15	190	59231
16	208	61071
17	221	61378
18	234	61525
19	247	61567
20	259	61566
21	272	61612
22	285	61741
23	298	61829
24	310	61874
25	323	61936
26	336	61968
27	348	61970
28	361	61970
29	374	62014
30	389	62371
31	401	62406
32	414	62460
33	427	62409
34	439	62411
35	452	62395
36	465	62433
37	478	62493
38	491	62470
39	503	62460
40	517	62565
41	529	62539
42	542	62546
43	555	62531
44	567	62508
45	580	62536
46	594	62617
47	614	63350
48	627	63403
49	640	63422
50	654	63503
51	667	63474
52	679	63467
53	692	63470
54	705	63453
55	718	63418
56	730	63377
57	743	63375
58	756	63351
59	769	63352
60	782	63331
61	799	63685
62	813	63742
63	827	63785
64	840	63826
65	853	63830
66	866	63802
67	880	63826
68	893	63828
69	905	63789
70	918	63776
71	931	63727
72	943	63704
73	956	63683
74	968	63630
75	981	63599
76	994	63593
77	1008	63607
78	1020	63591
79	1033	63564
80	1046	63564
81	1059	63543
82	1072	63530
83	1085	63542
84	1098	63529
85	1112	63580
86	1124	63523
87	1138	63521
88	1153	63663
89	1167	63699
90	1180	63659
91	1198	63923
92	1211	63946
93	1224	63912
94	1237	63894
95	1250	63880
96	1263	63842
97	1275	63810
98	1289	63817
99	1301	63779
100	1314	63770
101	1327	63739
102	1340	63717
103	1352	63691
104	1367	63771
105	1381	63773
106	1394	63767
107	1407	63772
108	1420	63743
109	1433	63711
110	1451	63944
111	1464	63927
112	1477	63895
113	1490	63878
114	1503	63853
115	1516	63847
116	1529	63815
117	1541	63784
118	1555	63790
119	1567	63759
120	1580	63737
121	1593	63729
122	1608	63769
123	1620	63736
124	1633	63715
125	1646	63696
126	1659	63663
127	1672	63641
128	1685	63631
129	1697	63591
130	1710	63569
131	1722	63531
132	1735	63510
133	1750	63562
134	1763	63556
135	1777	63557
136	1794	63707
137	1808	63711
138	1820	63678
139	1833	63653
140	1846	63630
141	1859	63604
142	1875	63685
143	1888	63668
144	1900	63635
145	1913	63621
146	1926	63599
147	1939	63575
148	1952	63557
149	1965	63540
150	1978	63523
151	1991	63503
152	2004	63494
153	2017	63480
154	2030	63455
155	2042	63437
156	2055	63399
